Error,설명,
input,"사용자로부터 키보드로 입력을 받는 Python 내장 함수입니다.
    이름 입력 혹은 변수 입력 등에 활용됩니다.","input_str = input() # input : 'Hello World!'
print('입력값' : input_str)

결과 값 : 'Hello World!"
split,"문자열을 특정한 구분자를 기준으로 분리하여 리스트로 반환하는 Python 문자열 매서드입니다.
    구분자는 기본적으로 공백으로 설정되어 있으며 쉼표나 탭 등의 임의의 문자를 설정할 수 있습니다.","sentence = 'Hello World!'
print(sentence.split())

결과 값 : ['Hello', 'World!']


print(sentence.split('l'))

결과 값 : ['He', '', 'o Wor', 'd!']"
slice,"Python에서 slice는 시퀀스 객체(문자열, 리스트, 튜플 등)에서 특정 범위의 요소를 추출하는 방법입니다.
    slice는 객체의 일부분을 선택하여 새로운 시퀀스 객체를 생성합니다.
    slice는 [num : num](num : integer) 형식으로 사용됩니다.","sentence = 'Hello World!'
print(sentence[3:])

결과 값 : 'lo World!'
"
if,"if문은 조건에 따라서 특정 코드 블록을 실행하거나 건너뛰는 데 사용되는 제어문입니다.
    조건이 True일 경우 해당 코드 블록이 실행되며 조건이 False인 경우에는 코드 블록이 건너 뛰어집니다.
    if문은 단독으로 사용될 수도 있고 else나 elif(else if의 줄임말)와 함께 사용될 수 있습니다.
    else문는 조건이 False인 경우 실행되고 elif문은 추가적인 조건을 검사합니다.","x = 10
if x > 10:
    print('x는 10보다 큽니다.')
elif x < 10:
    print(""x는 10보다 작습니다."")
else:
    print(""x는 10입니다."")
"
while,"while문은 조건이 참일 경우 코드 블록을 반복 실행하는 Python 제어문입니다.
            조건이 참인 동안 계속해서 반복되므로 조건을 적절하게 설정하여 무한 루프에 빠지지 않도록 주의해야 합니다.
            무한 루프를 피하기 위해 반복문 안에서 조건을 넣거나 break 문을 사용하여 반복을 중단시킬 수 있습니다.","# while문 예시
num = 1
while num < 4:
    print(num)
    num += 1

# while 문이 무한루프가 되는 경우
num = 1
while True:
    print(num)
    num += 1
"
open,"open()은 Python에서 파일을 열기 위해 사용되는 내장 함수입니다.
            open() 함수를 사용하여 파일을 열면 파일 객체를 반환하고 이를 통해 읽기 쓰기 등의 작업을 수행할 수 있습니다.
            open() 함수의 구조는 다음과 같습니다.

            # open(file    mode    encoding)
            - file : 파일의 경로 또는 파일명을 나타냅니다.
            - mode : 수행할 작업을 나타내는 문자열입니다.
                - r : 읽기 모드로 파일을 엽니다.
                - w : 쓰기 모드로 파일을 엽니다.
                - a : 추가 모드로 파일을 엽니다. 파일의 끝에 내용을 추가할 때 사용됩니다.
                - x : 베타적 생성 모드로 파일을 엽니다. 파일이 이미 존재하는 경우 실패합니다.
            - encoding : 파일의 인코딩을 지정합니다.

            open() 함수를 통한 작업 후 close() 매서드를 호출하여 파일을 닫을 수 있습니다.
            추가적으로, 파일을 열 때 with 문을 사용하면 파일을 자동으로 닫을 수 있습니다.
            ","# example 1

file = open('example.txt', 'r', encoding='UTF-8')
content = file.read()
print(content)
file.close()

# example 2

with open('example.txt', 'r') as file:
    content = file.read()
    print(content)

"
readline,"open()을 통해 파일을 열고 readline() 혹은 readlines()로 파일에서 데이터를 읽을 수 있습니다.
readline() 매서드는 파일에서 한 줄씩 데이터를 읽어 올 때 사용됩니다.
readlines() 매서드는 모든 줄을 읽어와 리스트로 반환합니다.
","file = open('example.txt', 'r')

line = file.readline()

lines = file.readlines()
"
enumerate,"enumerate() 함수는 Python에서 반복 가능한(iterable)객체를 순회하면서 각 요소의 인덱스와 값을 함께 반환하는 내장 함수입니다.
enumerate() 함수를 사용하면 index와 value를 쌍으로 처리 가능하여 반복문에서 유용하게 활용됩니다.
","fruits = ['apple', 'banana', 'orange']

for index, fruit in enumerate(fruits):
    print(index, fruit)

    
결과값 : 
0 apple
1 banana
2 orange
"
append,"append()는 Python 리스트(list) 객체에 새로운 요소를 추가하는데 사용되는 내장 메서드입니다. 
append() 메서드를 호출하면 리스트의 끝에 주어진 값을 추가합니다.
","fruits = ['apple', 'banana', 'orange']

fruits.append('grape')
print(fruits)

결과값 : 
['apple', 'banana', 'orange', 'grape']
"
for,"for문은 Python에서 반복을 수행하는 루프(loop)구문입니다.
for문은 시퀀스 객체나 이터러블 객체의 요소를 하나씩 순회하면서 반복 작업을 수행합니다.
","fruits = ['apple', 'banana', 'orange']

for fruit in fruits:
    print(fruit)

결과값 : 
apple
banana
orange
"
membership operator,"membership operator는 Python에서 특정 요소가 시퀀스 객체 또는 컬렉션에 속하는지를 확인하는 연산자입니다.
Python에서는 'in'과 'not in' 두 가지의 membership operator가 제공됩니다.
'in' 연산자는 특정 요소가 속해있다면 True를 속해있지 않다면 False를 반환합니다.
'not in' 연산자는 특정 요소가 속해있다면 False를 속해있지 않다면 True를 반환합니다.
","fruits = ['apple', 'banana', 'orange']
print('apple' in fruits)

결과값 : 
True
"
type,"type()은 Python 내장 함수이며 주어진 객체의 자료형을 반환합니다.
type() 함수를 사용하여 객체의 자료형을 확인할 수 있습니다.
","x = 10
y = 'Hello'
z = [1, 2, 3]

print(type(x))
print(type(y))
print(type(z))

결과값 : 
<class 'int'>
<class 'str'>
<class 'list'>
"
string,"문자의 시퀀스로 이루어진 자료형입니다.
문자열은 작은 따옴표(')나 큰 다옴표("")로 둘러싸여 있습니다.
","print(type('Hello World!') == str)

결과값:
True
"
inteager,"정수를 나타내는 자료형입니다.
","print(type(10) == int)
print(type(-5) == int)

결과값:
True
True
"
list,"여러 개의 요소를 순서대로 담고 있는 변경 가능한 자료형입니다. 대괄호([])로 요소들을 묶어 표현합니다.
","list_number = [1, 2, 3]
list_fruit = ['apple','banana','melon']
"
dictionary,"키와 값의 쌍으로 이루어진 자료형입니다. 중괄호({})를 사용하여 표현하며 각 키와 값은 콜론(:)으로 구분합니다. 
","{'name' : 'Yewon'}
"
float,"부동 소수점 숫자(=실수)를 나타내는 자료형입니다.
","print(type(3.14) == float)
print(type(-2.789123) == float)

결과값:
True
True
"
bool,"참(True) 또는 거짓(False) 값을 가지는 자료형입니다.
","True or False
"
tuple,"여러 개의 요소를 순서대로 담고 있는 변경 불가능한 자료형입니다. 
괄호(())로 요소들을 묶어 표현하거나 괄호 없이 쉼표로 요소들을 구분하여 표현합니다.
","(1, 2, 3)
"
set,"고유한 값들의 모임을 나타내는 자료형입니다. 중괄호({})나 set() 함수를 사용하여 표현합니다.
","{1, 2, 3}
set([4, 5, 6]
"
