Error,설명,예제,,
AssertionError,"assert 문이 실패할 때 발생하는 에러입니다. assert문은 주어진 조건이 거짓인 경우 에러를 일으키는 함수이며, if 조건문과 같이 동작합니다. assert 함수는 주로 프로그램 점검을 할 때 이용됩니다.",">>> x = 999
>>> assert x != 999, 'x의 값이 예상과 다릅니다'

AssertionError: x의 값이 예상과 다릅니다",,
AttributeError,"대상이 지원하지 않는 함수를 사용하려 할 때 발생하는 에러입니다. 
다음 사항을 확인해 보세요.
(1) 함수 혹은 인스턴스에 오타가 있는지 확인 해보세요
(2) 함수의 속성을 확인해보세요 (ex. 문자열을 대상으로 하는 함수에 숫자를 사용하는 경우)
(3) 모듈명과 파일명이 같은지 확인해보세요",">>> x = 9989
>>> x.split(8)

AttributeError: 'int' object has no attribute 'split'",,
EOFError,input() 함수가 데이터를 읽지 못한 상태에서 EOF (end-of-file) 조건을 만날 때 발생합니다. (주의하세요: io.IOBase.read() 와 io.IOBase.readline() 메서드는 EOF를 만날 때 빈 문자열을 돌려줍니다.),,,
GeneratorExit,제너레이터 또는 코루틴 이 닫힐 때 발생합니다 generator.close() 와 coroutine.close() 를 확인해 보십시오.,,,
ImportError,"import 문이 모듈을 로드하는 데 문제가 있을 때 발생합니다. 또한 from ... import 에서 임포트 하려는 이름을 찾을 수 없을 때도 발생합니다.
(1) 모듈 명이 올바르게 쓰였는가
(2) 모듈이 환경에 설치되어 있는가
를 확인 해보시길 바랍니다.",,,
ModuleNotFoundError,"ImportError 의 서브 클래스인데, 모듈을 찾을 수 없을 때 import 가 일으킵니다. sys.modules 에서 None 이 발견될 때도 발생합니다.",,,
IndexError,"Index가 범위를 벗어날 때 발생합니다.
(Index가 정수가 아니면 Type error가 발생합니다.)",,,
KeyError,딕셔너리의 키가 기존 키 집합에서 발견되지 않거나 Value가 None 일 경우 발생합니다.,,,
KeyboardInterrupt,"사용자가 인터럽트 키(일반적으로 Control-C 또는 Delete)를 누를 때 발생합니다. 실행 중에 인터럽트 검사가 정기적으로 수행됩니다. Exception을 잡는 코드에 의해 우연히 잡혀서, 인터프리터가 종료하는 것을 막지 못하도록 BaseException 를 계승합니다.",,,
MemoryError,"프로그램이 더 이상 충분한 메모리를 할당할 수 없을 때 발생하는 에러입니다.
(1) 프로그램에서 자료의 크기(or 단위)가 너무 크진 않은지
(2) 외부 리소스가 메모리를 과다 사용을 하지 않는지
확인 해보시길 권장드립니다.",,,
